Job title,Company,Tag
Intelligence Liaison,Booz Allen,"在宅OK,急募"
Webマーケティング(ネット広告・販促PRなど),農林中央金庫,フレックスタイム制度あり
データサイエンティスト【フルリモート可】,株式会社エス・エム・エス,英語
Payments Sales Analyst,JPMorgan Chase & Co,"第二新卒歓迎,フレックスタイム制度あり"
"Senior Data Scientist, Japan Consumer Innovation",Amazon Japan G.K.,"交通費支給,駅近5分以内,即日勤務OK"
【トレジャリー部】Treasury Regulatory Liquidity Reporting,野村證券株式会社,"交通費支給,在宅OK,英語"
Digital Analyst/ Senior Digital Analyst,Assembly,"英語,経験者歓迎"
【金融】金融機関向けデータ分析コンサルティング領域におけるリードデータサイエンティスト,株式会社NTTデータ,英語
IT Application Assistant Manager (Business Analyst),Advisory Group株式会社,"完全在宅,在宅OK,英語,フレックスタイム制度あり"
【Technology】BIエンジニア/データアナリスト,JLL,"交通費支給,社会保険完備,長期,駅近5分以内,残業月20時間以内,1+"
【Engineer-】データエンジニア / データアナリスト,株式会社ミツモア,"交通費支給,経験者歓迎"
データアナリスト,株式会社クレディセゾン,"在宅OK,研修あり"
オープンポジション:システム開発,株式会社日立システムズ,"残業月20時間以内,在宅OK,経験者歓迎,マネージャー採用"
料率設定アクチュアリー(大手損害保険会社),ソフトウエアエンジニアリング株式会社,在宅OK
SAP導入コンサルタント:日立グループ向けのデジタル経営基盤強化,株式会社日立システムズ,"研修あり,英語"
鉄道車両の設計/製造を担う日立製作所笠戸事業所を支えるインフラエンジニア,株式会社日立システムズ,"残業月20時間以内,経験者歓迎"
システム設計/開発PLPM:工事積算を支援するソリューション,株式会社日立システムズ,"長期,経験者歓迎"
医薬業界のお客様に対するクラウド基盤の設計/構築/運用PL/PM,株式会社日立システムズ,経験者歓迎
